y2022,2021,City,Country,Inflation,Paid Parental Leave (Days),Covid Impact,Covid Support,Healthcare,Access to Mental Healthcare,Inclusivity & Tolerance,Affordability,Happines,city_safety,Outdoor Spaces,Air_quality,Wellness and Fitness,Total
86,-,El Paso,USA,8.71,0,72.5,81.1,85.1,67.5,84.6,84.5,77.7,68.4,77.4,95.3,56.2,79.9
87,44,Houston,USA,8.15,0,73.9,81.9,87.5,67.5,83.7,100,81,50.4,84.7,97,57.2,79.89
88,30,Seoul,South Korea,4.86,93,85.7,82.6,97.2,75.1,78.5,63,63.1,81.8,85.4,71.7,72.3,79.71
89,-,Las Vegas,USA,9.81,0,78.2,85.2,82.4,65.7,90.3,82,84.7,51.1,84,95.6,57.4,79.47
90,41,New Orleans,USA,8.71,0,69.4,84.3,83.7,67.8,86.5,69.2,76.7,43.4,85.5,98.6,56.9,79.11
91,-,St. Louis,USA,9,0,79.6,83.5,90.7,66.7,85,83.4,75.7,43.9,94.1,81.7,57.9,77.15
92,-,Memphis,USA,9.02,0,77,81,77.7,67.2,84.2,79.4,79.2,37.3,83,97,57.7,77.12
93,45,Hong Kong,Hong Kong,2.85,70,78.6,84.6,78.1,100,73.3,54.7,56.4,85.8,82.2,81.8,81.1,77.11
94,-,Montevideo,Uruguay,17.82,0,69,80,74.4,64.6,81.4,52.4,50,56.2,83.6,98.5,62.3,74.59
95,48,Buenos Aires,Argentina,107.41,92,63.6,74.2,65.2,70.2,83.9,57.4,74.3,38.8,82.5,95.6,60.6,73.15
96,49,Bangkok,Thailand,3.46,90,85.2,88.9,75.7,79.7,73.5,50,65.8,27.8,70.1,84,65.4,70.73
97,47,Sao Paulo,Brazil,16.39,181,61.9,72.9,62.5,50,79.5,55.5,75.8,17.4,76.9,88,61.9,66.57
98,50,Kuala Lumpur,Malaysia,2.56,98,78.1,77.3,66.7,74.3,57,70.5,59.5,47.2,62.2,84.8,59.7,66.02
99,-,Dubai,UAE,6.89,45,100,50,69.4,52.2,50,78,79.2,97.9,50,50,58.6,61.23
100,-,Cape Town,South Africa,10.11,0,50,79.1,50,65,89.7,71.6,59.6,1,87.6,94.5,50,50
